Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
59a255cf-3bb4-4e73-b492-43e99072c02d,2018-11-16,,999-29-1785,,,,Marlin805,Hartmann983,,,,white,nonhispanic,M,Brockton  Massachusetts  US,641 Predovic Trafficway Unit 22,Framingham,Massachusetts,Middlesex County,,42.324133221556565,-71.46684462803174,28900.0,904.1199999999999
9b5ebc07-52fb-4e84-9123-c4985abe3f0a,2016-06-15,,999-80-2175,,,,Lloyd546,Grant908,,,,white,nonhispanic,M,Weymouth  Massachusetts  US,423 Kris Mall,Melrose,Massachusetts,Middlesex County,02176,42.4711439577234,-71.0471199417342,79033.42,2041.5199999999998
1e542421-bf85-4215-8892-8cc9a56b08f8,1999-07-06,,999-67-5153,S99935146,X78486520X,Ms.,Mechelle851,Gusikowski974,,,,white,nonhispanic,F,Fitchburg  Massachusetts  US,946 Kshlerin Crossroad,Natick,Massachusetts,Middlesex County,,42.250854097422184,-71.32819795642389,414476.12,3423.0399999999995
d87f1176-f360-48eb-8674-33428cf66c73,2000-07-04,,999-84-5335,S99938672,,Mr.,Dick869,Nader710,,,,white,nonhispanic,M,Chelmsford  Massachusetts  US,1019 Parker Highlands Suite 22,Chicopee,Massachusetts,Hampden County,01013,42.19919778076212,-72.59642790648499,5386.68,0.0
c290000f-c7b8-4bc2-b1a1-42f4343195a4,1993-06-28,,999-77-9680,S99998506,X54039700X,Ms.,Tyler508,Braun514,,,,white,nonhispanic,F,Springfield  Massachusetts  US,731 Weber Landing,Beverly,Massachusetts,Essex County,01915,42.530654657638784,-70.82273242768217,613920.02,9484.82
631f250e-a837-4201-ba7c-50bbeba7a160,1986-06-12,,999-74-1438,S99928996,X16677125X,Mr.,Buck819,Crooks415,,,M,white,nonhispanic,M,Rockport  Massachusetts  US,883 Funk Orchard,Leominster,Massachusetts,Worcester County,,42.532360540965165,-71.81235224173484,14662.55,0.0
9800fdaf-6f2d-49d2-b15c-09c61a436079,1983-03-05,,999-49-4505,S99918758,X41731223X,Mr.,Wayne846,Cronin387,,,M,asian,nonhispanic,M,Ho Chi Minh City  Gia Định  VN,377 Hoeger Gate,Cambridge,Massachusetts,Middlesex County,02139,42.38914648222027,-71.16167971075107,15175.289999999999,0.0
d3a6f4b3-01b9-4ad2-a0b3-0e6a1db7da19,1988-06-10,,999-78-2554,S99926469,X62630305X,Mrs.,Takisha161,Mann644,,Crist667,M,white,nonhispanic,F,Lexington  Massachusetts  US,506 Bailey Bypass,Gloucester,Massachusetts,Essex County,01930,42.63969764673436,-70.69557770126198,680644.41,7090.539999999999
b878aea2-8bc9-4994-b83c-2be07d93180a,1973-02-24,,999-82-8961,S99924696,X73906832X,Ms.,Anne636,Schinner682,,,S,white,nonhispanic,F,Worcester  Massachusetts  US,426 Zboncak Ramp Unit 99,Weston,Massachusetts,Middlesex County,,42.409784480132814,-71.28165136899926,1097297.64,8499.13
515c04b8-ed5b-4e94-8089-bfa7244846d5,1984-02-13,,999-63-5526,S99979864,X31187801X,Ms.,Elene949,Spencer878,,,S,white,nonhispanic,F,Barnstable  Massachusetts  US,736 Reilly Flat Apt 81,Randolph,Massachusetts,Norfolk County,,42.22291158797421,-71.01044963513209,116004.05,9991.349999999999
5841c031-0570-482c-8fad-0d89d0b7180a,1982-05-14,,999-38-8238,S99999908,X45378626X,Mr.,Stanford577,Fisher429,,,M,black,nonhispanic,M,Wareham  Massachusetts  US,247 McGlynn Parade Apt 67,Boston,Massachusetts,Suffolk County,02215,42.309817331414344,-71.02937265413702,913086.69,3417.1699999999996
481e850f-8774-437a-a41a-08b97664b7fe,1958-12-20,,999-35-1420,S99985306,X7576223X,Mr.,Elliot577,Windler79,,,M,white,nonhispanic,M,Westwood  Massachusetts  US,421 Buckridge Manor Suite 87,Lawrence,Massachusetts,Essex County,01841,42.74077209544938,-71.19245849186063,1642839.57,5887.04
f5a69e88-e227-4b1f-9198-6040eab71a4b,1957-03-14,,999-38-1492,S99963018,X34699107X,Mr.,Rob341,Renner328,,,M,white,nonhispanic,M,Lynn  Massachusetts  US,1083 Morar Frontage road Apt 28,Melrose,Massachusetts,Middlesex County,,42.49414344258967,-71.07989226669262,1462912.82,7665.08
c8de9b6c-ed9a-48f3-992a-8d274fb94d21,1951-01-14,,999-79-9477,S99916680,X76740266X,Mr.,Amado512,Greenfelder433,,,M,black,nonhispanic,M,Leicester  Massachusetts  US,194 Bogisich Manor Apt 9,Cambridge,Massachusetts,Middlesex County,02141,42.35171849700508,-71.07672291273752,1502015.06,6571.879999999999
16e6a8a7-377b-460e-8342-839eae1f0b1e,1935-10-01,,999-76-3965,S99913342,X20180776X,Ms.,Thomasena108,Bayer639,,,S,white,nonhispanic,F,Duxbury  Massachusetts  US,334 Runte Light,Sandwich,Massachusetts,Barnstable County,02563,41.71241360251695,-70.43690869022105,1522234.84,26292.839999999997
b065d2f9-17dd-4e31-913c-527f8504c5be,1977-03-13,,999-98-6784,S99965430,X37330235X,Mr.,Stephen891,Wehner319,,,M,white,nonhispanic,M,Everett  Massachusetts  US,1052 Raynor View Unit 36,Burlington,Massachusetts,Middlesex County,01730,42.531442119389986,-71.15548825884841,1047290.8,6106.96
35c7dc4a-b6c9-4398-b620-4bf4c8355a95,1952-11-04,,999-81-8013,S99927042,X33910154X,Mr.,Gordon377,Nolan344,,,M,asian,nonhispanic,M,Ahmedabad  Gujarat  IN,614 Brakus Orchard Apt 24,Newton,Massachusetts,Middlesex County,02461,42.33253126229042,-71.19494658604195,1757042.06,6790.48
645c7683-a95e-4f99-ad70-3435def24f03,2016-09-08,,999-58-8876,,,,Giuseppina753,Rice937,,,,white,nonhispanic,F,Gloucester  Massachusetts  US,454 Welch Estate Unit 72,Northbridge,Massachusetts,Worcester County,,42.17102799406537,-71.6114193570955,73890.91,1943.1999999999998
7a259368-70e5-4f34-9dde-7684960669b2,1975-04-23,,999-96-1018,S99942000,X45670849X,Mrs.,Jennine355,Considine820,,O'Conner199,M,white,nonhispanic,F,Taunton  Massachusetts  US,659 Lang Viaduct Unit 16,Sandwich,Massachusetts,Barnstable County,,41.73902971260839,-70.42757878676275,1000932.72,8313.359999999999
